City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,kourou,5.1552,-52.6478,26.03,81,12,4.23,GF,1704172997
138,carnarvon,-24.8667,113.6333,27.53,53,3,10.08,AU,1704172999
139,minas de marcona,-15.2119,-75.1103,16.47,85,77,4.65,PE,1704173000
140,new norfolk,-42.7826,147.0587,22.18,50,100,2.81,AU,1704173001
141,angra do heroismo,38.65,-27.2167,17.29,91,40,4.92,PT,1704172899
142,lihue,21.9789,-159.3672,24.58,82,100,5.66,US,1704173004
143,luanda,-8.8368,13.2343,26.0,80,75,0.51,AO,1704172909
144,salahonda,2.1019,-78.7217,25.64,89,100,5.01,CO,1704173006
145,mitu,1.1983,-70.1733,24.45,88,86,0.3,CO,1704173007
146,aripuana,-9.1667,-60.6333,22.96,98,94,0.71,BR,1704172983
147,cockburn town,21.4612,-71.1419,24.58,82,82,8.21,TC,1704172776
148,mejit,10.2753,170.8646,26.94,81,77,9.52,MH,1704172878
149,flin flon,54.7682,-101.865,-10.3,86,100,4.15,CA,1704173011
150,kerikeri,-35.2268,173.9474,21.62,72,5,2.54,NZ,1704173011
151,holbeach,52.804,0.0144,10.48,89,20,9.77,GB,1704173012
152,mukalla,14.5425,49.1242,24.15,70,15,1.49,YE,1704173013
153,praia da vitoria,38.7333,-27.0667,17.09,88,40,4.45,PT,1704173014
154,puerto aysen,-45.4,-72.7,12.28,95,87,1.76,CL,1704173015
155,machilipatnam,16.1667,81.1333,27.22,71,94,3.34,IN,1704173016
156,nemuro,43.3236,145.575,1.11,77,100,8.9,JP,1704173017
157,ishigaki,24.3448,124.1572,23.07,56,75,4.12,JP,1704173018
158,kismayo,-0.3582,42.5454,27.87,72,96,5.78,SO,1704173019
159,st. john's,47.5649,-52.7093,-4.29,89,100,4.12,CA,1704172753
160,el sauzal de rodriguez,31.9,-116.6833,12.29,74,10,2.93,MX,1704173020
161,pechora,65.1472,57.2244,-36.75,100,19,0.45,RU,1704173021
162,weno,7.4515,151.8468,25.97,100,100,2.57,FM,1704173022
163,sarina,-21.4333,149.2167,29.04,1,33,4.04,AU,1704173024
164,luis correia,-2.8792,-41.6669,25.5,82,99,1.9,BR,1704173025
165,atafu village,-8.5421,-172.5159,28.95,68,99,2.49,TK,1704173025
166,bang saphan,11.2126,99.5117,31.27,52,17,2.69,TH,1704173026
167,campillos,37.0483,-4.8631,8.27,76,93,0.51,ES,1704173027
168,limon,10.0,-83.0333,24.47,83,8,1.2,CR,1704173028
169,hithadhoo,-0.6,73.0833,27.45,77,87,1.89,MV,1704173029
